Data;Regressor;Best parameters;MSE;MAE;MAPE;PCC
aa_freq+avg_protvec+aromaticity+helix+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}";2912.329932088162;31.87294717692308;352928.58889252663;(0.6362222352562324, 1.3596386166577511e-17)
aa_freq+avg_protvec+aromaticity+turn+sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4181.031082229264;29.744472351748254;201001.66528926583;(0.6180255180367873, 1.9845395149493153e-16)
aa_freq+avg_protvec+aromaticity+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}";4393.457945038638;36.02958597141384;215299.06238475273;(0.4299301029284069, 8.380802371355351e-08)
aa_freq+avg_protvec+aromaticity+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}";3052.871466898946;31.452343330769228;392045.77156059124;(0.6230090276136524, 9.690807422038115e-17)
aa_freq+avg_protvec+aromaticity+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}";2994.298895493329;30.290304286480183;520032.19982987875;(0.638145936911301, 1.0134243385145397e-17)
aa_freq+avg_protvec+helix+turn+sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4386.146121285207;30.238003820279715;259472.83009805437;(0.6058818905977702, 1.0803206714185098e-15)
aa_freq+avg_protvec+helix+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";5599.735710140717;38.17344647762237;1140832.5562012836;(0.3191268123636472, 0.00010241976136001712)
aa_freq+avg_protvec+helix+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}";3079.1295747901177;31.804998925174832;392055.39284955425;(0.620163904147364, 1.4613765350823215e-16)
aa_freq+avg_protvec+helix+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}";3089.731116592748;32.10001291118881;392594.6238954366;(0.6169835753071679, 2.3017012981236414e-16)
aa_freq+avg_protvec+turn+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}";2834.542720067215;30.605530393706292;391553.93813863565;(0.6562415905416811, 5.74974803850639e-19)
aa_freq+shannon_entropy+residue_repeats+aromaticity+helix+turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";3084.205874639647;31.97856171489501;3964367.2068412453;(0.616409339766318, 2.4970846591103934e-16)
aa_freq+shannon_entropy+residue_repeats+aromaticity+helix+sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}";2480.411260776507;30.751306052214453;674586.6720136425;(0.7025592945864334, 1.3939636925913988e-22)
aa_freq+shannon_entropy+residue_repeats+aromaticity+helix+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6138.236469349529;35.33820878531469;227252.6307930499;(0.511006390821699, 6.983489319297629e-11)
aa_freq+shannon_entropy+residue_repeats+aromaticity+helix+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3536.088767482668;30.26825416993007;214190.50925352375;(0.5818374268379151, 2.522064154917092e-14)
aa_freq+shannon_entropy+residue_repeats+aromaticity+turn+sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}";2440.0446182833984;30.449026914685312;674605.6142990887;(0.7112995698426157, 2.4133501272844087e-23)
aa_freq+shannon_entropy+residue_repeats+aromaticity+turn+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6138.427798020859;35.36338361048951;227253.2029481675;(0.5109173564552664, 7.04554423206174e-11)
aa_freq+shannon_entropy+residue_repeats+aromaticity+turn+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3552.842917832318;30.54398843566434;214191.82366478821;(0.5803680633583141, 3.0321835937035225e-14)
aa_freq+shannon_entropy+residue_repeats+aromaticity+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6141.00821932855;35.481460533566434;227666.84711006627;(0.5110657831449447, 6.942388566707788e-11)
aa_freq+shannon_entropy+residue_repeats+aromaticity+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3536.169884091059;30.28031710699301;214191.2003427376;(0.5817359608851431, 2.5544259993504965e-14)
aa_freq+shannon_entropy+residue_repeats+aromaticity+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";4191.569780008891;32.588817106993005;214109.0914217436;(0.5273387234658746, 1.3186545611997421e-11)
aa_freq+shannon_entropy+residue_repeats+helix+turn+sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";3085.773100888122;31.90187117308529;3969667.580150898;(0.6173754357733844, 2.1770132227271618e-16)
aa_freq+shannon_entropy+residue_repeats+helix+turn+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6138.427798020859;35.36338361048951;227253.2029481675;(0.5109173564552664, 7.04554423206174e-11)
aa_freq+shannon_entropy+residue_repeats+helix+turn+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3552.842917832318;30.54398843566434;214191.82366478821;(0.5803680633583141, 3.0321835937035225e-14)
aa_freq+shannon_entropy+residue_repeats+helix+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6141.00821932855;35.481460533566434;227666.84711006627;(0.5110657831449447, 6.942388566707788e-11)
aa_freq+shannon_entropy+residue_repeats+helix+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3536.369980769381;30.297275148951044;214195.51287059634;(0.5816963675474988, 2.567163280821831e-14)
aa_freq+shannon_entropy+residue_repeats+helix+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";4191.569780008891;32.588817106993005;214109.0914217436;(0.5273387234658746, 1.3186545611997421e-11)
aa_freq+shannon_entropy+residue_repeats+turn+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6141.199547999879;35.506635358741256;227667.41926518388;(0.5109765388367542, 7.004236317402029e-11)
aa_freq+shannon_entropy+residue_repeats+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3536.442312937213;30.316366058041954;214196.3139951475;(0.581555184112102, 2.613087315314561e-14)
aa_freq+shannon_entropy+residue_repeats+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";4191.569780008891;32.588817106993005;214109.0914217436;(0.5273387234658746, 1.3186545611997421e-11)
aa_freq+shannon_entropy+residue_repeats+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";4191.569780008891;32.588817106993005;214109.0914217436;(0.5273387234658746, 1.3186545611997421e-11)
aa_freq+shannon_entropy+aromaticity+helix+turn+sheet;KNN;"{'metric': 'chebyshev', 'n_neighbors': 2, 'weights': 'distance'}";3988.4063198423955;30.757106805771386;1817882.6133984327;(0.4632480122515408, 5.678270066108504e-09)
aa_freq+shannon_entropy+aromaticity+helix+turn+gravy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";5112.383423519178;34.84464927482517;487898.1947812358;(0.42469745724206176, 1.2466882304897728e-07)
