Data;Regressor;Best_parameters;MSE;MAE;MAPE
gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}";7.458693677751525;2.076000947355705;17.346130972042058
aa_freq+dipep_freq+avg_protvec;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.465976215058061;1.6527767015431178;13.867117294291578
aa_freq+dipep_freq+shannon_entropy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.579927301778757;1.542075882922143;12.776207590986822
aa_freq+dipep_freq+residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";5.182510141305172;1.6173265192915554;13.686083472467248
aa_freq+dipep_freq+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.7127924671433705;1.5494437850068996;12.825839691264376
aa_freq+dipep_freq+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";4.761818583474746;1.5093785236842077;12.747278278473278
aa_freq+dipep_freq+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.548522406541757;1.564652460313052;13.077043307317396
aa_freq+dipep_freq+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.6014069610306825;1.5764080244854528;13.181542497948382
aa_freq+dipep_freq+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";4.945065298186865;1.5624594801391738;13.188140291923112
aa_freq+dipep_freq+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.699095193868485;1.6352799073568345;13.726656213361343
aa_freq+avg_protvec+shannon_entropy;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";6.1609554622719775;1.695313868417683;14.46085177380249
aa_freq+avg_protvec+residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.291283609683998;1.5830117032907745;13.360267549763197
aa_freq+avg_protvec+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";6.760138056342929;1.792971598500743;15.173502507980782
aa_freq+avg_protvec+helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}";6.26231064154626;1.7408702291705116;14.818026642672816
aa_freq+avg_protvec+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";7.026796633894587;1.7514662523238034;14.701496044465342
aa_freq+avg_protvec+sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}";6.396911174080518;1.772324120063811;15.124421019106174
aa_freq+avg_protvec+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";6.18586804888314;1.7104850998875456;14.419776618281114
aa_freq+avg_protvec+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";6.161000641288016;1.7579712241654633;14.881523605446478
aa_freq+shannon_entropy+residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}";5.302743106614196;1.6348226294080794;13.813657556129744
aa_freq+shannon_entropy+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.962995487391938;1.647135506615299;13.896639384259318
aa_freq+shannon_entropy+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.952501271651165;1.6310560744618736;13.664561362807845
aa_freq+shannon_entropy+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.935949676096581;1.6161592140461987;13.457591766877735
aa_freq+shannon_entropy+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.942187097201148;1.6096299020068108;13.354751079831207
aa_freq+shannon_entropy+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.4798583302291295;1.6738858485783263;14.179870647668416
aa_freq+shannon_entropy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";6.185764769538979;1.76286826295901;14.799849250004762
aa_freq+residue_repeats+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";5.285442473375325;1.6342933399502713;13.817526770378041
aa_freq+residue_repeats+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.185155451370262;1.6121157560205128;13.401353330326419
aa_freq+residue_repeats+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.03278677100807;1.589076456092881;13.198680571763798
aa_freq+residue_repeats+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";5.343753999687822;1.6324778400581101;13.831472700092684
aa_freq+residue_repeats+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.856526054720639;1.6604900819057091;13.863061898140247
aa_freq+residue_repeats+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}";5.342486654112974;1.662698652859379;13.815306172674763
aa_freq+aromaticity+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";6.089855473590389;1.6974808859515982;14.397619719100799
aa_freq+aromaticity+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";6.145495088132991;1.6502954670005863;13.862719556223496
aa_freq+aromaticity+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.791238966810626;1.5671176010658803;13.21533546090355
aa_freq+aromaticity+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";6.721822278769116;1.8122861879194085;15.223964488212161
aa_freq+aromaticity+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";7.322963115135659;2.006330927303009;17.140702791157945
aa_freq+helix+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.804856638635141;1.6188948915391854;13.555656895748164
aa_freq+helix+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.116137486775984;1.5914550343273475;13.488039536431002
aa_freq+helix+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";6.951652144666465;1.784264541823073;14.896105053679115
aa_freq+helix+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";6.996520359450706;1.9517148486989273;16.689664167494914
aa_freq+turn+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";6.283336304188399;1.6769350085495847;14.071043914284232
aa_freq+turn+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";6.892660067036798;1.8162196684651426;15.2001576765912
aa_freq+turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";7.582018255404065;2.030035794876359;17.278329146692
aa_freq+sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";6.713146155496912;1.8791815994392702;15.833527063641768
aa_freq+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";7.6327182995295075;2.0274208603230233;17.33668456985458
aa_freq+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";6.923507937333981;1.9887663090856729;16.92548034137598
dipep_freq+avg_protvec+shannon_entropy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";6.151559435367842;1.6492449185429154;13.68360006782374
dipep_freq+avg_protvec+residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.382934801670293;1.5435310552854582;12.78376952132499
dipep_freq+avg_protvec+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.552695383665878;1.6493340930429128;13.95669375552763
dipep_freq+avg_protvec+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.53643344062376;1.6180152657870226;13.593651860448327
dipep_freq+avg_protvec+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.518123583075063;1.616011819169663;13.542633229980073
dipep_freq+avg_protvec+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.829372116601618;1.7089783958610891;14.500864828488186
dipep_freq+avg_protvec+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.776942032276025;1.6629386696744433;13.8783873150813
dipep_freq+avg_protvec+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";6.189314777397394;1.763833521319372;14.988492451998662
dipep_freq+shannon_entropy+residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";5.170529665911502;1.6078969760754387;13.597890511713215
dipep_freq+shannon_entropy+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.530147482649559;1.5646593523759256;12.927681784609046
dipep_freq+shannon_entropy+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}";5.104792476605892;1.632260446171533;13.856588795307449
dipep_freq+shannon_entropy+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.5429230793492374;1.572311484793399;12.992968136560542
dipep_freq+shannon_entropy+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.456952453408636;1.54818687232748;12.780370857102618
dipep_freq+shannon_entropy+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";4.674490469298524;1.5508749130662889;13.11288742014009
dipep_freq+shannon_entropy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";5.994042795871689;1.681801685275455;14.045174840418511
dipep_freq+residue_repeats+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.30976108161886;1.5773732541970673;12.974072913756793
dipep_freq+residue_repeats+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.100260778098491;1.6017910140996294;13.279009372555665
dipep_freq+residue_repeats+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";4.94310008522868;1.562690568312095;12.9703189264203
dipep_freq+residue_repeats+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";5.089435739656763;1.6067003817194427;13.552540789392372
dipep_freq+residue_repeats+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.593619201112932;1.608027415289651;13.22173807029518
dipep_freq+residue_repeats+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.084322447031145;1.5687419559597071;12.765545132901456
dipep_freq+aromaticity+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.317664002446879;1.5262689344789033;12.565131782082183
dipep_freq+aromaticity+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";4.910062362941469;1.466453350154261;12.085304483883737
dipep_freq+aromaticity+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";4.768466959050732;1.4555845627515218;12.057666788954844
dipep_freq+aromaticity+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.531038524581607;1.5516414158190088;12.79276733945193
dipep_freq+aromaticity+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";6.080918670504361;1.7376509281946169;14.596659109812787
dipep_freq+helix+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.01873226072385;1.477345189665543;12.183062719915496
dipep_freq+helix+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.157908201027888;1.5200278833378904;12.577633365559073
dipep_freq+helix+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.576747256521664;1.5574593196534496;12.920926951073271
dipep_freq+helix+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.569238171836585;1.6913376097584538;14.151651462678336
dipep_freq+turn+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";5.155339241095707;1.5194268819676353;12.47509767989034
dipep_freq+turn+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";4.52365305970728;1.5216713161444064;12.789504681859972
dipep_freq+turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";6.1171910264658695;1.7917645080135496;14.971196492873288
dipep_freq+sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.123145133834325;1.570029146481709;13.045075922377197
dipep_freq+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";6.037365611898404;1.6948838367248555;14.016589383459449
dipep_freq+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";5.9174981519113246;1.7853761494609341;14.990203202519933
avg_protvec+shannon_entropy+residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.645689989627759;1.6082866800307585;13.504773871692594
avg_protvec+shannon_entropy+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";6.241782155682842;1.7472194842722255;14.963678765957908
avg_protvec+shannon_entropy+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";6.215905739600547;1.6602426544229199;13.994959393691056
avg_protvec+shannon_entropy+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";7.061062020842524;1.7083576077790354;14.386841282903436
avg_protvec+shannon_entropy+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";6.353697277693051;1.7606647992108881;15.009151684679104
avg_protvec+shannon_entropy+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";6.112104353340551;1.6609230388994847;13.94564934030433
avg_protvec+shannon_entropy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";6.2078156281759265;1.701893468233404;14.326313249946415
avg_protvec+residue_repeats+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.364729139556332;1.5754320169549458;13.15796971741117
avg_protvec+residue_repeats+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";5.867738234164199;1.6089202254542194;13.305475558050814
avg_protvec+residue_repeats+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";5.257006254434044;1.590451758697934;13.468438930026144
avg_protvec+residue_repeats+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.439573862052723;1.5922887064133755;13.288380617060236
avg_protvec+residue_repeats+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.900324991161096;1.6245865607788676;13.629635631829615
avg_protvec+residue_repeats+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}";5.157827078533669;1.6402059122430552;13.670636599317678
avg_protvec+aromaticity+helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}";5.731485353936963;1.6476974921003178;13.768345578338135
