Data;Best_params;MSE;MAE;MAPE;PCC
dipep_freq+paac+cetd+aromaticity+helix+gravy+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};4988.7295283085605;46.1892294624419;277.292688544232;(0.37018375327727654, 0.04037761558317086)
dipep_freq+paac+cetd+aromaticity+turn+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'};4596.501652171594;43.87328742303732;215.1780483325629;(0.5017501875340653, 0.004029640445415357)
dipep_freq+paac+cetd+aromaticity+turn+sheet+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};4988.7295283085605;46.1892294624419;277.292688544232;(0.37018375327727654, 0.04037761558317086)
dipep_freq+paac+cetd+aromaticity+turn+gravy+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};4988.7295283085605;46.1892294624419;277.292688544232;(0.37018375327727654, 0.04037761558317086)
dipep_freq+paac+cetd+aromaticity+sheet+gravy+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};4988.7295283085605;46.1892294624419;277.292688544232;(0.37018375327727654, 0.04037761558317086)
dipep_freq+paac+cetd+helix+turn+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'};4596.414362059589;43.87288779613227;215.1788807600629;(0.5017675251416207, 0.004028168396599524)
dipep_freq+paac+cetd+helix+turn+sheet+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};4988.7295283085605;46.1892294624419;277.292688544232;(0.37018375327727654, 0.04037761558317086)
dipep_freq+paac+cetd+helix+turn+gravy+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};4988.7295283085605;46.1892294624419;277.292688544232;(0.37018375327727654, 0.04037761558317086)
dipep_freq+paac+cetd+helix+sheet+gravy+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};4988.7295283085605;46.1892294624419;277.292688544232;(0.37018375327727654, 0.04037761558317086)
dipep_freq+paac+cetd+turn+sheet+gravy+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};4988.7295283085605;46.1892294624419;277.292688544232;(0.37018375327727654, 0.04037761558317086)
dipep_freq+paac+net_contact_energy+aromaticity+helix+turn+sheet;{'metric': 'chebyshev', 'n_neighbors': 4, 'weights': 'distance'};5351.35524105115;46.13759859368523;216.26612493747558;(0.2492137051342394, 0.17637937526987602)
dipep_freq+paac+net_contact_energy+aromaticity+helix+turn+gravy;{'metric': 'chebyshev', 'n_neighbors': 4, 'weights': 'distance'};5351.276197939744;46.13489814528506;216.26213019132155;(0.24921809446323578, 0.17637150746262564)
dipep_freq+paac+net_contact_energy+aromaticity+helix+turn+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'};5487.768033911221;43.83574725182827;165.73202563852897;(0.2209771472621339, 0.23223319462940034)
dipep_freq+paac+net_contact_energy+aromaticity+helix+sheet+gravy;{'metric': 'chebyshev', 'n_neighbors': 4, 'weights': 'distance'};5351.276197939744;46.13489814528506;216.26213019132155;(0.24921809446323578, 0.17637150746262564)
dipep_freq+paac+net_contact_energy+aromaticity+helix+sheet+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'};5487.8623670597435;43.83720173732667;165.73746132002574;(0.22096022157638834, 0.2322698759203059)
dipep_freq+paac+net_contact_energy+aromaticity+helix+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'};5476.5040083290605;43.81936782155881;168.2517104602992;(0.22163879635994346, 0.2308023215932478)
dipep_freq+paac+net_contact_energy+aromaticity+turn+sheet+gravy;{'metric': 'chebyshev', 'n_neighbors': 4, 'weights': 'distance'};5351.276197939744;46.13489814528506;216.26213019132155;(0.24921809446323578, 0.17637150746262564)
dipep_freq+paac+net_contact_energy+aromaticity+turn+sheet+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'};5487.58148094482;43.83374552771864;165.72994634895645;(0.2210268438305739, 0.23212551489136665)
dipep_freq+paac+net_contact_energy+aromaticity+turn+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'};5475.82421736035;43.757477149904744;167.3974932756944;(0.22061596323388466, 0.233016796719749)
