Data;Regressor;Best parameters;MSE;MAE;MAPE;PCC
aa_freq+dipep_freq+shannon_entropy+helix+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3554.59409479623;29.424276903846742;2483105.2688673926;(0.5840479378685575, 1.908301246245896e-14)
aa_freq+dipep_freq+shannon_entropy+turn+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3241.1513100846614;27.63470601476002;808030.0914236001;(0.6133892171305186, 3.822522419662886e-16)
aa_freq+dipep_freq+shannon_entropy+turn+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";2957.408558440936;28.742205025837773;175892.7995692207;(0.7020916559367101, 1.5283454247968632e-22)
aa_freq+dipep_freq+shannon_entropy+turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3423.6064375651913;28.818275963212077;2516892.8638253026;(0.6012378838490215, 2.026613798624503e-15)
aa_freq+dipep_freq+shannon_entropy+sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3065.4034623541047;28.590608023942007;31719.914983490315;(0.6550788575137052, 6.954725650605593e-19)
aa_freq+dipep_freq+shannon_entropy+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3725.102739797464;30.181676868244015;2507171.061090719;(0.5513893213313821, 9.572561747816862e-13)
aa_freq+dipep_freq+shannon_entropy+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3642.964628883135;30.695469741954216;144849.35401778083;(0.5676567913367169, 1.4368679687937929e-13)
aa_freq+dipep_freq+residue_repeats+aromaticity+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}";3572.145184951232;30.738535332435415;404778.9738804913;(0.673981845907417, 2.8334089215765947e-20)
aa_freq+dipep_freq+residue_repeats+aromaticity+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}";3690.977742243554;30.750887733182363;466366.61218423303;(0.6945785026243432, 6.545010480380428e-22)
aa_freq+dipep_freq+residue_repeats+aromaticity+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}";3649.2569722672615;30.843371090217857;305795.16684662906;(0.673843003737107, 2.903307193380853e-20)
aa_freq+dipep_freq+residue_repeats+aromaticity+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}";3513.7862916502504;30.3464488932404;158888.35221758237;(0.6718505955107763, 4.1128339918023223e-20)
aa_freq+dipep_freq+residue_repeats+aromaticity+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";3430.6719854332155;29.75794490997849;743671.7755708962;(0.6653560519443859, 1.256356495422703e-19)
