Data;Regressor;Best parameters;MSE;MAE;MAPE;PCC
avg_protvec+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";3433.542864057759;28.538924484615386;325165.06538927153;(0.6098483024129021, 6.261119192444107e-16)
avg_protvec+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6365.576473154816;40.27988486923078;38738.69721852407;(0.3827716647197932, 2.381051255808024e-06)
shannon_entropy+residue_repeats;KNN;"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}";2550.1986492040705;31.00928773636364;624055.9583296966;(0.6968068346298899, 4.271589880407228e-22)
shannon_entropy+net_contact_energy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";6640.764319106982;40.32860249160839;5194166.454353911;(0.3157993930877406, 0.00012200464076740624)
shannon_entropy+aromaticity;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4715.721546888745;31.332956967132866;320596.62537450186;(0.4714288096361733, 2.8022352394586764e-09)
shannon_entropy+helix;KNN;"{'metric': 'chebyshev', 'n_neighbors': 2, 'weights': 'distance'}";4604.378011582402;31.742283315993124;824972.618314361;(0.37835291661728504, 3.175528223813891e-06)
shannon_entropy+turn;KNN;"{'metric': 'chebyshev', 'n_neighbors': 2, 'weights': 'distance'}";4604.718301775289;31.40500458200371;775782.5893358777;(0.39298040278208984, 1.2045111796122668e-06)
shannon_entropy+sheet;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4700.545346840856;30.017970953146857;419823.8555850742;(0.423518028611039, 1.362171542702218e-07)
shannon_entropy+gravy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'distance'}";5633.868263812886;35.09448144265734;488034.20158082456;(0.308861810826823, 0.00017457405113545295)
shannon_entropy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";5488.918579192465;38.515453470629375;52922008.23259875;(0.44760315192231603, 2.0834534155373723e-08)
residue_repeats+net_contact_energy;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4144.52967318248;31.051663260839163;12484592.674325084;(0.5146254012994878, 4.86361156455591e-11)
residue_repeats+aromaticity;KNN;"{'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'}";2949.8868025769084;30.603691767766232;4757528.086131723;(0.6196962106233612, 1.562842832345929e-16)
residue_repeats+helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";3148.2458493066797;31.97147817918702;4358099.322378657;(0.5968962099836129, 3.6160322464568195e-15)
residue_repeats+turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'}";2944.264886373209;30.70606260535562;4759163.019764904;(0.6207197579734414, 1.349118720304713e-16)
residue_repeats+sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";3045.1412158198364;31.216961826718467;4587119.777942192;(0.6168674373775529, 2.339974868591144e-16)
residue_repeats+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6373.114572074117;37.549409414685314;227556.67842291854;(0.48627424287294085, 7.411421791264367e-10)
residue_repeats+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3543.053550702947;30.528009414685318;214250.30333458408;(0.5820407177087632, 2.4584216927822524e-14)
net_contact_energy+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";7015.813222958873;43.82975899510489;5129775.141342984;(0.11768196426774741, 0.16157636034365802)
net_contact_energy+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'uniform'}";4553.3244380523465;42.14459138544183;16803130.748546764;(0.259043103858229, 0.00178397451922531)
net_contact_energy+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'uniform'}";4549.615321298875;41.957512914367456;18892522.522602964;(0.2583611408221001, 0.0018362976984329245)
net_contact_energy+sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}";5808.784546783338;38.373361023076924;5118512.378780541;(0.32596097762777476, 7.103929255699551e-05)
net_contact_energy+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";7117.767269655386;40.257052421678324;67751096.998104;(0.2083840081144906, 0.012506521926181308)
net_contact_energy+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";7649.732820527338;47.11728116293706;5121108.841223942;(0.26413383784706157, 0.0014342561831728938)
aromaticity+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'uniform'}";4401.979200635987;40.46893291754609;20827763.44709035;(0.29936205640486513, 0.00028113483406641207)
aromaticity+turn;KNN;"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'uniform'}";3933.1167332650693;37.50985948461539;1074895.7994684412;(0.4399304551945316, 3.849965871851591e-08)
aromaticity+sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}";3662.638480328854;37.06032173791764;816458.9051535295;(0.47257271748519303, 2.5349622275664945e-09)
aromaticity+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";8908.250575979237;51.82635284125873;67793651.80828147;(0.009137327915557651, 0.9137499362697438)
aromaticity+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";7871.028006177779;45.21964927482518;53500310.861914404;(0.22141352376807036, 0.007871060276426712)
helix+turn;KNN;"{'metric': 'chebyshev', 'n_neighbors': 4, 'weights': 'uniform'}";5447.7908997459135;45.84892992167832;3029141.7029648987;(0.262312378256775, 0.0015514750822178125)
helix+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}";5410.947426558397;43.31128441468532;46475249.378688745;(0.2249362262388217, 0.006914351543919731)
helix+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}";7361.506464690859;48.811367106193394;58874380.63444427;(0.042798429598790974, 0.6117790596136875)
helix+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}";6083.388171754659;44.24589551576926;1334046.9742313104;(0.35108010834502634, 1.714769866875081e-05)
turn+sheet;KNN;"{'metric': 'chebyshev', 'n_neighbors': 2, 'weights': 'uniform'}";5091.6934705615695;36.43108738671329;8809244.939346507;(0.3718561249100714, 4.81259761803628e-06)
turn+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}";5678.909085853573;46.482553913519816;22801731.18508493;(0.14183929750562146, 0.09106252126084696)
turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}";4937.353213009265;37.947717189844255;534322.2688897024;(0.4053819692290054, 5.101569679620018e-07)
sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";6653.371840797835;48.02474717692308;33953711.21634282;(0.19149185485132542, 0.021960160619240617)
sheet+net_charge_at_pH7point4;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";5249.111405317758;36.83297885524476;7868324.4697361505;(0.39333393696068597, 1.175933593532606e-06)
gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";10388.553135767292;54.631558365734264;383853.6691179039;(0.29806085609484617, 0.0002997187076449559)
aa_freq+dipep_freq+avg_protvec;KNN;"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}";2906.8521699601783;30.46263668741258;1855472.0484756373;(0.6372565237145713, 1.161216463524865e-17)
aa_freq+dipep_freq+shannon_entropy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";5146.976099657976;32.800089834265734;320602.14855374774;(0.36702518274110896, 6.518375654445773e-06)
aa_freq+dipep_freq+residue_repeats;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";2829.0477062822997;31.14072760483265;3874868.0121939033;(0.6696906426690696, 5.98119831922531e-20)
aa_freq+dipep_freq+net_contact_energy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6371.222928525306;38.201360393706295;5196264.762749115;(0.29657334322889906, 0.0003223546979467759)
aa_freq+dipep_freq+aromaticity;KNN;"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}";2328.4523807411556;24.97839197878788;1582410.9372236438;(0.7207267160232325, 3.378973603696478e-24)
aa_freq+dipep_freq+helix;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4301.366691646661;32.620486337762244;966035.0574387314;(0.47362087691213717, 2.31175326899524e-09)
aa_freq+dipep_freq+turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";4088.5921145097263;30.174745148951047;4537154.469193267;(0.5574714321484139, 4.767830626781155e-13)
aa_freq+dipep_freq+sheet;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";3045.4982419902976;28.13453528881119;4538115.428571205;(0.6627028304303393, 1.9668537994470594e-19)
aa_freq+dipep_freq+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";4321.374336839963;30.214101162937062;379991.48549483175;(0.5336096379818875, 6.788166589587275e-12)
aa_freq+dipep_freq+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";5755.481052246311;39.93830661748251;1138466.5847424984;(0.3799109306151137, 2.8703418557423966e-06)
aa_freq+avg_protvec+shannon_entropy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";5179.78525606357;32.60530661748252;320548.2488863955;(0.3604222650552865, 9.790936253998821e-06)
aa_freq+avg_protvec+residue_repeats;KNN;"{'metric': 'euclidean', 'n_neighbors': 16, 'weights': 'uniform'}";2899.1513744856147;32.27936348811189;2021186.5718162626;(0.6481580673307384, 2.1218169657662215e-18)
aa_freq+avg_protvec+net_contact_energy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";7121.631911049781;40.914220533566436;5194542.733996799;(0.30185544425028205, 0.00024847354177283263)
aa_freq+avg_protvec+aromaticity;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";3614.8302643776724;28.815101722377623;89305.13943985282;(0.6641972683852873, 1.5288794020476394e-19)
aa_freq+avg_protvec+helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";2361.8606909386485;24.87966186223776;74423.58828188835;(0.7298381022511877, 4.672961904374016e-25)
aa_freq+avg_protvec+turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";2344.417134632435;25.370720253846148;322496.6532572012;(0.7296567297466898, 4.864467036146135e-25)
aa_freq+avg_protvec+sheet;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4607.366837796661;32.059593330769225;4607939.294743297;(0.5342164149256939, 6.361112057102781e-12)
aa_freq+avg_protvec+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4506.864059783879;31.036915009090908;259498.37722352546;(0.5954559648075288, 4.373355140339406e-15)
aa_freq+avg_protvec+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";2786.973108789206;28.934151687412584;212633.75680552193;(0.6685002486949755, 7.342525264210622e-20)
aa_freq+shannon_entropy+residue_repeats;KNN;"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}";2527.3766527471803;30.946718683109196;624057.4894946839;(0.7011588692266886, 1.835343223881864e-22)
aa_freq+shannon_entropy+net_contact_energy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";6640.764319106982;40.32860249160839;5194166.454353911;(0.3157993930877406, 0.00012200464076740624)
aa_freq+shannon_entropy+aromaticity;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4540.824100560073;31.471537386713283;320656.49598450126;(0.47287973809095574, 2.4675167114276184e-09)
aa_freq+shannon_entropy+helix;KNN;"{'metric': 'chebyshev', 'n_neighbors': 4, 'weights': 'distance'}";3742.6433966306217;32.25907053911654;10529395.57424371;(0.48949332649797944, 5.507718096928948e-10)
aa_freq+shannon_entropy+turn;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4743.997688639318;31.486831093006987;1231293.7149604065;(0.45973198569254725, 7.648579624386455e-09)
aa_freq+shannon_entropy+sheet;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";5274.633358938759;33.521579344755246;420211.21887393954;(0.3657792325827635, 7.043340463076732e-06)
aa_freq+shannon_entropy+gravy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'distance'}";5633.868908519179;35.09556535874126;488267.26851389155;(0.3088541315120412, 0.00017464245174367106)
aa_freq+shannon_entropy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";5263.959826842814;36.42060032377622;52921958.269914865;(0.47017064418461907, 3.127529953768249e-09)
aa_freq+residue_repeats+net_contact_energy;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";3960.5003958188445;29.076285638461545;12484559.182665074;(0.5376420254913121, 4.397020975108334e-12)
aa_freq+residue_repeats+aromaticity;KNN;"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}";2534.334977313978;30.719689635233998;624485.6752073801;(0.7016775726522739, 1.6578656089695007e-22)
aa_freq+residue_repeats+helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";3054.545840566029;31.72034556309787;3965675.0390236266;(0.619660119733324, 1.5709521954085409e-16)
aa_freq+residue_repeats+turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";3048.424175358093;31.722574234856246;3965250.8102838052;(0.6200884544111254, 1.4772993377729392e-16)
aa_freq+residue_repeats+sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";3062.1190164188342;31.700469879661256;3883903.33567229;(0.6169299150844852, 2.3193087061791667e-16)
aa_freq+residue_repeats+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6388.675693384494;37.8697961979021;227557.77211977498;(0.48536260518294916, 8.056973940617114e-10)
aa_freq+residue_repeats+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3549.339154253647;30.60836955454545;214247.34740036205;(0.581222166086151, 2.724599784949052e-14)
aa_freq+net_contact_energy+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4918.303945042787;33.200206547552455;5119772.084318085;(0.4040082391523938, 5.620576986726501e-07)
aa_freq+net_contact_energy+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";6202.762396942088;35.46413661748252;67678989.13318251;(0.34079227723189137, 3.1150448939773863e-05)
aa_freq+net_contact_energy+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4788.441231196633;33.367031722377625;5120370.833076881;(0.41735668583389907, 2.152042636628139e-07)
aa_freq+net_contact_energy+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";4691.301111672158;31.56994780629371;5120028.087836023;(0.43336573365355, 6.433540524679398e-08)
aa_freq+net_contact_energy+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";7543.021873032996;42.00233242167832;67747874.69669008;(0.30603770059197744, 0.0002014806245148483)
aa_freq+net_contact_energy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";5867.522225462374;38.78492661748252;5107762.549943317;(0.3563138528818215, 1.2554544652776253e-05)
aa_freq+aromaticity+helix;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";3706.3303694808023;30.16854437972028;1035567.1804520931;(0.5620225664196501, 2.803883484300363e-13)
aa_freq+aromaticity+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 16, 'weights': 'uniform'}";2947.6507904562322;32.83121677045454;3268881.2198238396;(0.650313286595311, 1.5038216374116473e-18)
aa_freq+aromaticity+sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";4186.912705572885;28.98232060349651;4607552.2556439545;(0.6010619047641088, 2.07509220234887e-15)
aa_freq+aromaticity+gravy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";5755.3337064314765;39.58010326083917;449102.43741079496;(0.3937449131391335, 1.1435238361480527e-06)
aa_freq+aromaticity+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";5626.831663721835;37.87094298111888;1138563.8003449836;(0.32515361773190465, 7.42107031974369e-05)
aa_freq+helix+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'}";2904.391655123204;34.16837288429263;1184685.3608639122;(0.6331650226807712, 2.1598480968198323e-17)
aa_freq+helix+sheet;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";4394.333237830647;31.43115277132867;1035915.9193009036;(0.518589517574546, 3.2563379863725757e-11)
aa_freq+helix+gravy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'}";7302.961282742999;42.6077606034965;487595.4135901151;(0.35143973239115844, 1.6787199676664465e-05)
aa_freq+helix+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";5742.266523393137;39.39505969440559;379577.22011094383;(0.31520905465328203, 0.0001258247367676143)
aa_freq+turn+sheet;KNN;"{'metric': 'chebyshev', 'n_neighbors': 9, 'weights': 'uniform'}";2453.988271560491;29.82652967109557;985107.1028683628;(0.7017776293344644, 1.6256179347720235e-22)
aa_freq+turn+gravy;KNN;"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'uniform'}";3834.21560101079;38.42340906503496;280060.2800705945;(0.47854941234210857, 1.4924441235650548e-09)
aa_freq+turn+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}";5388.183280660969;37.651821932167834;1137841.8973665182;(0.3844062216060619, 2.138197714413096e-06)
aa_freq+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";4355.005473568523;31.047889204895107;450094.3988520052;(0.5919490691083455, 6.921255722199833e-15)
aa_freq+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}";4818.288434778559;37.420380879987924;754992.274826092;(0.39380930570302264, 1.138523503566777e-06)
aa_freq+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}";5253.6930039507;40.33518913496503;512296.5509736653;(0.3875423156886586, 1.7366036348839408e-06)
