Data;Best_params;MSE;MAE;MAPE;PCC
aa_freq+avg_protvec+shannon_entropy+paac+cetd+net_contact_energy;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5989.946976831136;35.712257666433565;83542.09372011264;(0.32289697230435105, 8.37918197600078e-05)
aa_freq+avg_protvec+shannon_entropy+paac+cetd+aromaticity;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5160.377568990873;32.33748843566433;83539033.1467617;(0.518821189583421, 3.180368559368008e-11)
aa_freq+avg_protvec+shannon_entropy+paac+cetd+helix;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5160.377568990873;32.33748843566433;83539033.1467617;(0.518821189583421, 3.180368559368008e-11)
aa_freq+avg_protvec+shannon_entropy+paac+cetd+turn;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5160.377568990873;32.33748843566433;83539033.1467617;(0.518821189583421, 3.180368559368008e-11)
aa_freq+avg_protvec+shannon_entropy+paac+cetd+sheet;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5160.377568990873;32.33748843566433;83539033.1467617;(0.518821189583421, 3.180368559368008e-11)
aa_freq+avg_protvec+shannon_entropy+paac+cetd+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4961.207333179684;31.657845079020976;83539019.78812677;(0.5320503150934317, 8.017056914877146e-12)
aa_freq+avg_protvec+shannon_entropy+paac+cetd+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'};3395.172960190493;27.535399786046032;68498218.72884303;(0.6203783547793045, 1.4170275204757352e-16)
aa_freq+avg_protvec+shannon_entropy+paac+net_contact_energy+aromaticity;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};3548.4349329565366;28.22247934475525;12478906.837140452;(0.5815100205910297, 2.6279460712281538e-14)
aa_freq+avg_protvec+shannon_entropy+paac+net_contact_energy+helix;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};3537.2216294600335;28.330731093006996;12478909.162429295;(0.5819998911599829, 2.4710762157904705e-14)
aa_freq+avg_protvec+shannon_entropy+paac+net_contact_energy+turn;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};3501.4419259635297;27.830870953146857;12478906.677300293;(0.579326933076322, 3.453009967539174e-14)
